date,approve,disapprove
2/5/19,39.36666667,53.83333333
2/6/19,39.95,54.35
2/7/19,38.2,55.6
2/8/19,40.13333333,54.4
2/9/19,38.65,55.1
2/10/19,41.55,53.675
2/11/19,39,56
2/12/19,40,53.53333333
2/13/19,41.45,53.65
2/14/19,41.55,52.45
2/15/19,42.15,52.85
2/16/19,42.55,52.35
2/17/19,40.8,54.76666667
2/18/19,41.16666667,53.13333333
2/19/19,42.8,51.16666667
2/20/19,42.35,54.15
2/21/19,40.85,53.875
2/22/19,40.5,53.03333333
2/23/19,41.4,53.9
2/24/19,41.06,53.84
2/25/19,40.46666667,55.13333333
2/26/19,41.16666667,52.63333333
2/27/19,42.6,52.86666667
2/28/19,41.05,53.825
3/1/19,41.05,53.15
3/2/19,40.775,54.15
3/3/19,39.9,54.3
3/4/19,41.5,53.35
3/5/19,40.825,52.475
3/6/19,41.4,52.65
3/7/19,41.4,52
3/8/19,40.4,53.63333333
3/9/19,41.15,52.2
3/10/19,41.38333333,54.16666667
3/11/19,41.55,52.45
3/12/19,41.7,51.9
3/13/19,41.56666667,52.13333333
3/14/19,41.05,54.1
3/15/19,41.26,52.8
3/16/19,39.7,54.15
3/17/19,40.98,52.42
3/18/19,40.54,55.4
3/19/19,39.73333333,54.36666667
3/20/19,41,53.73333333
3/21/19,40.775,53.2
3/22/19,39.55,53.85
3/23/19,40.3,54.4
3/24/19,40.775,52.725
3/25/19,40.53333333,53.3
3/26/19,42.075,52.3
3/27/19,41.48,52.24
3/28/19,40.85,52.1
3/29/19,40.7,52.65
3/30/19,42.7,51.5
3/31/19,42.95,51.3
4/1/19,42,51.55
4/2/19,42.16666667,51.53333333
4/3/19,43.03333333,51
4/4/19,42.1,52.6
4/5/19,41.36666667,52.96666667
4/6/19,40.5,53.36666667
4/7/19,42.44,52.96
4/8/19,41.15,53.35
4/9/19,40.925,52.575
4/10/19,41,51
4/11/19,39,52
4/12/19,40,52
4/13/19,42,52.5
4/14/19,40,56
4/15/19,39.25,52
4/16/19,41.25,53
4/17/19,42,50
4/18/19,41,51
4/19/19,38.5,53.5
4/20/19,39.33333333,55.33333333
4/21/19,39.33333333,54
4/22/19,45,48
4/23/19,40.66666667,51.66666667
4/24/19,41.5,52.5
4/25/19,39,53.5
4/26/19,42,52
4/27/19,40.5,52
4/28/19,43,51.5
4/29/19,41.7,52.775
4/30/19,42.2,52
5/1/19,43,52.5
5/2/19,41,53
5/3/19,40,51
5/4/19,42,49
5/5/19,42,52.2
5/6/19,42,52
5/7/19,41,51.66666667
5/8/19,40,52
5/9/19,44.5,50
5/10/19,42,51
5/11/19,39,55
5/12/19,41.6,52.8
5/13/19,40.5,55.5
5/14/19,41,51.66666667
5/15/19,39,54
5/16/19,42,52
5/17/19,40,52
5/18/19,42,52
5/19/19,37,58
5/20/19,40.125,55
5/21/19,40.5,52.5
5/22/19,41,53
5/23/19,42,51
5/24/19,42,53
5/26/19,41.33333333,50.66666667
5/27/19,40,54
5/28/19,42,50.33333333
5/29/19,42,54
5/30/19,40.33333333,53.66666667
5/31/19,42.5,53
6/1/19,43,49
6/2/19,41,52
6/4/19,42.6,50.2
6/5/19,40.5,54.5
6/6/19,43,49
6/7/19,42.5,51
6/8/19,44,50
6/9/19,41.75,52.75
6/10/19,41,53.5
6/11/19,42.5,52.5
6/12/19,45,47
6/14/19,43,50.5
6/16/19,42,53
6/17/19,40.5,53.66666667
6/18/19,42.33333333,51.66666667
6/19/19,45,50
6/20/19,42.5,51.5
6/21/19,42,51
6/22/19,40.5,52.5
6/23/19,41,52.5
6/24/19,43,51
6/25/19,42,51
6/26/19,40,53
6/27/19,43.5,48.5
6/28/19,42,52
6/29/19,41,51
6/30/19,41.33333333,53
7/1/19,41,53.75
7/2/19,41.75,51.5
